city,district,latitude,longitude
대전광역시,동구,0,0
대전광역시,대덕구,0,0
대전광역시,중구,0,0
대전광역시,서구,0,0
대전광역시,유성구,0,0
서울특별시,종로구,0,0
서울특별시,중구,0,0
서울특별시,용산구,0,0
서울특별시,마포구,0,0
서울특별시,성동구,0,0
서울특별시,광진구,0,0
서울특별시,동대문구,0,0
서울특별시,중랑구,0,0
서울특별시,성북구,0,0
서울특별시,강북구,0,0
서울특별시,도봉구,0,0
서울특별시,노원구,0,0
서울특별시,은평구,0,0
서울특별시,서대문구,0,0
서울특별시,서대문구,37.559476,126.943626
서울특별시,양천구,0,0
서울특별시,강서구,0,0
서울특별시,구로구,0,0
서울특별시,금천구,0,0
서울특별시,영등포구,0,0
서울특별시,동작구,0,0
서울특별시,관악구,0,0
서울특별시,서초구,0,0
서울특별시,강남구,0,0
서울특별시,송파구,0,0
서울특별시,강동구,0,0
경기도,하남시,0,0
인천광역시,중구,0,0
인천광역시,미추홀구,0,0
인천광역시,동구,0,0
인천광역시,연수구,0,0
인천광역시,남동구,0,0
인천광역시,부평구,0,0
인천광역시,서구,0,0
인천광역시,계양구,0,0
인천광역시,강화군,0,0
인천광역시,옹진군,0,0
